"State","Region Name","ASGC 2008 Code"
"ACT","Gungahlin",805403519
"ACT","Hall",805403689
"ACT","Harrison",805403819
"ACT","Ngunnawal",805406249
"ACT","Nicholls",805406279
"ACT","Palmerston",805406719
"ACT","Remainder of ACT",810059009
"NSW","Botany Bay (C)",105051100
"NSW","Leichhardt (A)",105054800
"NSW","Marrickville (A)",105055200
"NSW","Sydney (C) - Inner",105057201
"NSW","Sydney (C) - East",105057204
"NSW","Sydney (C) - South",105057205
"NSW","Sydney (C) - West",105057206
"NSW","Randwick (C)",105106550
"NSW","Waverley (A)",105108050
"NSW","Woollahra (A)",105108500
"NSW","Hurstville (C)",105154150
"NSW","Kogarah (A)",105154450
"NSW","Rockdale (C)",105156650
"NSW","Sutherland Shire (A) - East",105157151
"NSW","Sutherland Shire (A) - West",105157152
"NSW","Bankstown (C) - North-East",105200351
"NSW","Bankstown (C) - North-West",105200353
"NSW","Bankstown (C) - South",105200355
"NSW","Canterbury (C)",105201550
"NSW","Fairfield (C) - East",105252851
"NSW","Fairfield (C) - West",105252854
"NSW","Liverpool (C) - East",105254901
"NSW","Liverpool (C) - West",105254904
"NSW","Camden (A)",105301450
"NSW","Campbelltown (C) - North",105301501
"NSW","Campbelltown (C) - South",105301504
"NSW","Wollondilly (A)",105308400
"NSW","Ashfield (A)",105350150
"NSW","Burwood (A)",105351300
"NSW","Canada Bay (A) - Concord",105351521
"NSW","Canada Bay (A) - Drummoyne",105351524
"NSW","Strathfield (A)",105357100
"NSW","Auburn (A)",105400200
"NSW","Holroyd (C)",105403950
"NSW","Parramatta (C) - Inner",105406251
"NSW","Parramatta (C) - North-East",105406252
"NSW","Parramatta (C) - North-West",105406253
"NSW","Parramatta (C) - South",105406254
"NSW","Blue Mountains (C)",105450900
"NSW","Hawkesbury (C)",105453800
"NSW","Penrith (C) - East",105456351
"NSW","Penrith (C) - West",105456354
"NSW","Blacktown (C) - North",105530751
"NSW","Blacktown (C) - South-East",105530752
"NSW","Blacktown (C) - South-West",105530753
"NSW","Hunters Hill (A)",105554100
"NSW","Lane Cove (A)",105554700
"NSW","Mosman (A)",105555350
"NSW","North Sydney (A)",105555950
"NSW","Ryde (C)",105556700
"NSW","Willoughby (C)",105558250
"NSW","Baulkham Hills (A) - Central",105600501
"NSW","Baulkham Hills (A) - North",105600503
"NSW","Baulkham Hills (A) - South",105600505
"NSW","Hornsby (A) - North",105604001
"NSW","Hornsby (A) - South",105604004
"NSW","Ku-ring-gai (A)",105604500
"NSW","Manly (A)",105655150
"NSW","Pittwater (A)",105656370
"NSW","Warringah (A)",105658000
"NSW","Gosford (C) - East",105703101
"NSW","Gosford (C) - West",105703104
"NSW","Wyong (A) - North-East",105708551
"NSW","Wyong (A) - South and West",105708554
"NSW","Cessnock (C)",110051720
"NSW","Lake Macquarie (C) - East",110054651
"NSW","Lake Macquarie (C) - North",110054653
"NSW","Lake Macquarie (C) - West",110054655
"NSW","Maitland (C)",110055050
"NSW","Newcastle (C) - Inner City",110055903
"NSW","Newcastle (C) - Outer West",110055904
"NSW","Newcastle (C) - Throsby",110055905
"NSW","Port Stephens (A)",110056400
"NSW","Dungog (A)",110102700
"NSW","Gloucester (A)",110103050
"NSW","Great Lakes (A)",110103400
"NSW","Muswellbrook (A)",110105650
"NSW","Singleton (A)",110107000
"NSW","Upper Hunter Shire (A)",110107620
"NSW","Kiama (A)",115054400
"NSW","Shellharbour (C)",115056900
"NSW","Wollongong (C) - Inner",115058451
