"State","Region Name","ASGC 2008 Code"
"Vic","Gr. Bendigo (C) - Pt B",235102628
"Vic","Loddon (S) - North",235103943
"Vic","Loddon (S) - South",235103945
"Vic","Mount Alexander (S) - C'maine",235105431
"Vic","Mount Alexander (S) Bal",235105434
"Vic","Macedon Ranges (S) - Kyneton",235204131
"Vic","Macedon Ranges (S) - Romsey",235204134
"Vic","Macedon Ranges (S) Bal",235204135
"Vic","Gr. Shepparton (C) - Pt A",240052831
"Vic","Campaspe (S) - Echuca",240101371
"Vic","Campaspe (S) - Kyabram",240101374
"Vic","Campaspe (S) - Rochester",240101375
"Vic","Campaspe (S) - South",240101376
"Vic","Gr. Shepparton (C) - Pt B East",240102834
"Vic","Gr. Shepparton (C) - Pt B West",240102835
"Vic","Moira (S) - East",240104901
"Vic","Moira (S) - West",240104904
"Vic","Benalla (RC) - Benalla",240151011
"Vic","Benalla (RC) Bal",240151014
"Vic","Mansfield (S)",240154250
"Vic","Strathbogie (S)",240156430
"Vic","Mount Buller Alpine Resort",240158249
"Vic","Mitchell (S) - North",240204851
"Vic","Mitchell (S) - South",240204854
"Vic","Murrindindi (S) - East",240205621
"Vic","Murrindindi (S) - West",240205622
"Vic","Indigo (S) - Pt A",245053351
"Vic","Towong (S) - Pt A",245056671
"Vic","Wodonga (RC)",245057170
"Vic","Indigo (S) - Pt B",245103352
"Vic","Wangaratta (RC) - Central",245106701
"Vic","Wangaratta (RC) - North",245106704
"Vic","Wangaratta (RC) - South",245106705
"Vic","Alpine (S) - East",245150111
"Vic","Alpine (S) - West",245150112
"Vic","Towong (S) - Pt B",245156672
"Vic","Falls Creek Alpine Resort",245158109
"Vic","Mount Hotham Alpine Resort",245158309
"Vic","E. Gippsland (S) - Bairnsdale",250052111
"Vic","E. Gippsland (S) - Orbost",250052113
"Vic","E. Gippsland (S) - South-West",250052115
"Vic","E. Gippsland (S) Bal",250052117
"Vic","Wellington (S) - Alberton",250156811
"Vic","Wellington (S) - Avon",250156812
"Vic","Wellington (S) - Maffra",250156813
"Vic","Wellington (S) - Rosedale",250156814
"Vic","Wellington (S) - Sale",250156815
"Vic","Baw Baw (S) - Pt A",255050831
"Vic","Latrobe (C) - Moe",255053811
"Vic","Latrobe (C) - Morwell",255053814
"Vic","Latrobe (C) - Traralgon",255053815
"Vic","Latrobe (C) Bal",255053818
"Vic","Baw Baw (S) - Pt B East",255100834
"Vic","Baw Baw (S) - Pt B West",255100835
"Vic","Yarra Ranges (S) - Pt B",255107458
"Vic","Bass Coast (S) - Phillip Is.",255200741
"Vic","Bass Coast (S) Bal",255200744
"Vic","South Gippsland (S) - Central",255206171
"Vic","South Gippsland (S) - East",255206174
"Vic","South Gippsland (S) - West",255206175
"Vic","Bass Strait Islands",255208649
